ClusterID: #452C6D
#,#,#,#,#,#,#,#,#,#,#,1,#,#,#,#,#,#,0,0,0,1.0,2,0.15,13764
#,#,#,#,#,#,#,#,#,#,#,1,#,#,#,#,#,#,0,1,0,1.0,8,0.15,14128
#,#,#,#,#,#,#,0,#,#,#,1,#,#,0,#,#,#,1,0,0,0.5116279069767442,1,0.25,17095
#,#,0,#,#,#,#,#,#,#,#,1,#,#,2,#,#,#,1,0,1,1.0,1,0.25,19775
#,#,#,#,#,#,#,#,#,#,#,#,2,#,#,#,#,#,2,0,1,1.0,1,0.15,19115
#,#,#,#,#,#,#,#,#,#,#,#,1,#,#,#,#,#,0,0,0,1.0,1,0.15,3921
#,#,#,#,#,#,#,#,#,#,#,#,0,#,#,#,#,#,2,0,1,1.0,7,0.15,5233
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,0,1,0.5375,1,0.1,19666
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,2,0,0.0967741935483871,1,0.1,19625
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,2,1,1,0.875,1,0.1,19380
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,0,0,0.462882096069869,1,0.1,19084
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,2,1,0,1.0,9,0.1,9411
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,1,1,0.6942148760330579,5,0.1,7834
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,2,1,1.0,11,0.1,2571
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,0,0,1.0,12,0.1,1725
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,2,0,1.0,12,0.1,711
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,1,0,1.0,13,0.1,943
#,#,#,#,#,#,#,#,0,#,1,2,#,#,0,#,#,#,0,1,1,1.0,1,0.3,17624
#,#,#,#,#,#,#,#,0,#,#,1,#,#,2,#,#,#,0,1,1,1.0,2,0.25,18923
#,#,#,#,#,#,#,#,0,#,#,1,#,#,0,#,#,#,0,#,0,0.6843267108167771,1,0.2,15577
#,#,#,#,#,#,#,#,2,#,#,#,#,#,0,#,#,#,1,#,1,0.9610894941634242,2,0.15,16593
#,#,#,#,#,#,#,#,#,#,#,#,#,#,2,#,#,#,2,1,1,1.0,1,0.15,19710
#,#,#,#,#,#,#,#,#,#,#,#,#,#,2,#,#,#,0,0,0,1.0,3,0.15,17397
#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,#,#,#,1,0,0,1.0,3,0.15,17137
#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,#,#,#,2,0,1,1.0,5,0.15,3657
#,#,#,#,#,#,#,#,#,#,#,#,#,#,2,#,#,#,1,0,1,1.0,2,0.15,16704
#,#,#,#,#,0,#,#,1,#,#,#,#,#,0,#,#,#,0,1,1,0.8571428571428571,1,0.25,19622
#,#,#,#,#,1,#,#,#,#,#,#,#,#,1,#,#,#,1,0,0,1.0,1,0.2,10249
#,#,#,#,#,0,0,#,#,#,#,#,#,#,2,#,#,#,1,0,0,0.8888888888888888,1,0.25,18862
#,#,#,0,#,#,#,1,#,#,#,#,#,#,#,#,#,#,0,#,0,0.7053140096618358,1,0.15,18491
#,0,#,0,#,#,#,1,#,#,#,#,#,#,#,#,#,#,0,#,0,0.6585365853658537,1,0.2,18494
#,#,#,#,#,#,#,1,#,#,#,#,#,#,#,0,#,#,1,#,0,0.5849056603773585,1,0.15,18941
#,#,#,#,#,#,#,0,#,#,#,#,#,#,#,#,#,#,1,#,0,0.6911764705882353,2,0.1,15926
#,#,#,#,#,#,#,1,#,#,#,#,#,#,#,#,#,#,0,#,0,0.6368715083798883,1,0.1,18596
#,#,#,#,#,#,#,2,#,#,0,#,#,0,#,#,#,1,0,0,0,1.0,1,0.3,15088
#,#,#,#,#,#,#,2,#,#,0,#,#,1,0,#,#,0,#,0,0,1.0,1,0.3,19888
#,#,#,#,#,#,#,1,0,#,#,#,#,#,#,#,#,#,0,2,0,1.0,1,0.2,12611
#,#,#,#,#,#,#,0,#,#,#,#,#,#,#,#,#,#,2,0,0,1.0,2,0.15,10311
#,#,#,#,#,#,#,1,#,#,#,#,#,#,#,#,#,#,1,0,0,1.0,2,0.15,11748
#,#,#,#,#,#,#,1,#,#,#,#,#,1,#,#,#,#,#,1,0,0.8,1,0.15,19212
#,#,#,#,#,#,#,1,#,#,#,#,#,#,#,#,#,#,#,0,0,0.8153310104529616,1,0.1,18462
#,#,#,#,#,#,#,2,#,#,#,#,#,#,#,#,#,#,#,0,0,0.8181818181818182,2,0.1,18578
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,#,1,1,0,1.0,3,0.15,19448
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,#,1,2,1,0.7407407407407407,1,0.15,18830
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,#,0,1,0,1.0,2,0.15,9795
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,#,1,0,0,1.0,1,0.15,11444
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,#,0,#,0,0.7047872340425532,2,0.1,14181
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,#,1,#,0,0.5294117647058824,1,0.1,19583
#,#,1,#,#,#,#,#,#,#,#,#,#,#,#,#,1,#,1,0,0,1.0,4,0.2,17729
#,#,1,#,#,#,#,#,#,#,#,#,#,#,#,#,1,#,#,0,0,0.9047619047619048,1,0.15,19672
#,#,#,#,#,0,#,#,#,#,#,#,#,#,#,#,0,#,#,1,1,0.7218844984802432,1,0.15,15193
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,#,#,1,1,0.7270718232044199,2,0.1,16957
0,#,#,#,#,#,#,#,#,#,#,#,#,1,#,#,0,0,#,#,0,0.4618055555555556,1,0.2,13529
#,#,#,#,#,#,#,#,#,#,#,2,#,#,#,#,1,#,#,#,1,0.5263157894736842,1,0.1,19400
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,#,#,#,1,0.5034584980237155,1,0.05,15986
#,#,#,#,#,#,2,#,#,#,#,#,#,#,#,#,2,#,#,#,1,0.5348837209302325,1,0.1,18761
#,#,#,#,2,#,#,#,#,#,#,#,#,#,#,#,#,0,1,2,1,1.0,1,0.2,16122
#,#,#,#,2,#,#,#,#,#,#,#,#,#,#,#,#,0,1,#,1,0.9769230769230769,1,0.15,18110
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,1,#,0,0.7194752774974773,1,0.1,9321
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,2,0,#,1,0.9566326530612245,2,0.1,17514
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,1,0,0,1.0,3,0.15,11038
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,0,1,1,1,0.6590909090909091,1,0.2,19002
#,#,#,#,#,#,0,#,#,#,#,0,#,#,#,#,#,1,#,0,1,0.7352941176470589,1,0.2,19343
0,#,#,#,#,#,0,#,#,1,#,0,#,#,#,#,#,1,#,0,1,1.0,1,0.3,19500
#,#,#,#,#,#,#,#,#,#,1,0,#,#,#,#,#,0,#,1,0,0.7894736842105263,1,0.2,18359
#,#,#,#,0,#,#,#,#,0,#,2,#,#,#,#,#,1,#,0,1,1.0,1,0.25,19255
#,#,#,#,#,#,#,#,#,0,#,0,#,#,#,#,#,1,#,0,1,0.782608695652174,2,0.2,19300
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,#,0,1,0.7403314917127072,2,0.1,17790
#,#,0,#,#,#,#,#,0,#,#,#,#,#,#,#,#,1,#,0,1,0.8333333333333334,3,0.2,17402
#,#,2,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,#,2,0,1.0,1,0.15,8256
#,#,0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,#,0,1,0.7857142857142857,2,0.15,18850
1,#,1,#,#,#,#,#,#,#,1,1,#,#,#,#,#,0,#,#,1,0.6,1,0.25,16811
0,#,1,#,#,#,#,#,#,#,1,#,#,#,#,#,#,1,#,1,1,1.0,1,0.25,10890
0,#,1,#,#,#,#,#,#,#,1,#,#,#,1,#,#,1,#,1,1,1.0,1,0.3,18411
#,#,#,#,#,#,#,#,#,#,#,#,#,0,1,0,#,#,0,0,0,0.5757575757575758,1,0.25,18813
#,#,#,#,#,#,#,#,#,#,#,#,#,1,0,#,#,#,#,1,0,0.8526522593320236,2,0.15,14454
#,#,#,#,#,#,#,#,#,#,#,#,#,1,0,#,#,#,#,0,0,0.803030303030303,1,0.15,19424
#,#,#,#,#,#,#,#,#,#,#,#,0,#,0,1,#,#,#,1,1,0.7259615384615384,1,0.2,14626
#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,0,#,#,#,2,1,0.7288135593220338,1,0.15,17542
#,#,#,#,#,#,#,#,#,#,#,#,0,#,1,#,#,#,#,0,1,0.8076923076923077,1,0.15,19426
#,0,#,#,#,#,#,#,#,#,#,#,#,#,2,#,#,#,#,1,1,0.8084210526315789,1,0.15,19938
#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,#,#,#,#,0,1,0.2087912087912088,1,0.1,19558
#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,#,#,#,#,0,0,0.8136020151133502,1,0.1,18025
#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,#,#,#,#,1,1,0.7494883340155546,5,0.1,8393
#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,#,#,#,#,1,0,0.8438287153652393,1,0.1,17232
#,#,#,0,#,#,#,#,0,#,#,0,#,#,1,#,1,#,#,0,1,0.7428571428571429,1,0.3,19215
#,#,#,#,#,#,#,#,2,#,#,0,#,#,1,#,#,#,#,#,1,0.7142857142857143,1,0.15,19883
#,#,#,#,#,#,#,#,0,#,#,1,#,#,2,0,#,#,#,0,1,0.9485714285714286,1,0.25,12254
#,#,#,#,#,#,#,#,0,#,#,2,#,#,0,#,#,#,#,1,1,0.8866995073891626,2,0.2,14822
#,#,0,#,#,#,#,#,2,#,#,1,#,#,#,#,#,#,#,1,1,0.78125,2,0.2,16286
#,#,0,#,#,#,#,#,1,#,#,2,#,#,0,#,#,#,#,1,1,0.8,1,0.25,19354
#,#,#,#,#,#,#,#,1,#,#,1,#,0,#,#,#,#,#,1,0,0.9047619047619048,2,0.2,18949
#,#,#,#,#,#,#,#,0,#,#,2,#,#,#,#,#,#,#,0,1,0.7971014492753623,2,0.15,19202
#,0,#,2,#,#,#,#,#,#,#,0,#,#,1,#,#,#,#,0,1,0.7916666666666666,1,0.25,18557
#,0,#,2,#,#,#,#,#,#,#,0,#,#,0,#,1,#,#,1,1,0.9056603773584906,2,0.3,12157
#,0,#,2,#,#,2,#,#,#,#,0,#,#,1,#,0,#,#,1,1,0.8488919667590028,1,0.35,19537
#,#,#,#,#,#,#,#,#,#,#,0,#,#,1,#,#,#,#,2,1,0.8621700879765396,2,0.15,13222
#,#,#,#,#,0,#,#,#,#,#,1,#,#,2,#,#,#,#,0,1,0.8888888888888888,1,0.2,19559
#,#,0,#,#,0,#,#,#,#,#,0,#,#,2,#,#,#,#,1,1,0.5,1,0.25,19828
0,#,#,#,#,#,#,#,#,#,#,2,#,#,#,#,#,#,#,0,1,0.7747318235995232,2,0.15,11664
#,#,#,#,#,#,#,#,#,#,#,0,#,#,#,#,#,#,#,2,1,0.7758215962441315,2,0.1,12619
0,#,#,#,#,#,#,#,#,#,1,1,#,#,0,#,#,#,#,2,1,0.9594594594594594,1,0.25,14600
0,#,#,#,#,#,#,#,#,#,#,1,#,#,0,#,#,#,#,2,1,0.8735632183908046,1,0.2,18017
0,#,#,#,#,#,#,#,2,#,#,0,#,#,1,#,#,#,#,0,1,0.9,1,0.25,19400
#,0,#,#,#,#,2,#,#,#,#,#,#,1,#,#,0,#,#,2,1,0.6363636363636364,1,0.25,18251
#,2,#,#,#,#,0,#,#,#,#,#,#,#,#,#,#,#,#,#,1,0.5833333333333334,1,0.1,19523
#,1,#,#,#,#,1,#,#,#,#,#,#,#,#,#,#,#,#,0,0,0.8602150537634409,1,0.15,18564
#,0,#,#,#,#,2,#,#,#,#,#,#,#,#,#,#,#,#,0,1,0.8558558558558559,1,0.15,16452
#,0,#,#,#,#,2,#,#,#,#,#,#,#,#,#,#,#,#,0,1,0.84,1,0.15,17750
0,1,0,#,0,#,1,#,#,#,#,#,#,#,#,0,#,#,#,1,1,0.8620689655172413,1,0.35,13240
#,#,0,#,#,#,0,#,#,#,#,#,#,#,#,#,#,#,#,1,1,0.7142857142857143,1,0.15,18676
#,0,2,#,#,#,0,#,#,#,#,#,#,#,#,#,#,#,#,0,1,0.782608695652174,1,0.2,19121
#,0,#,#,#,#,#,#,0,#,#,#,#,#,#,#,#,#,#,2,1,0.8344370860927153,2,0.15,13991
#,0,#,#,#,#,2,#,0,#,#,#,#,#,#,#,#,#,#,0,1,0.8125,1,0.2,19220
#,0,#,#,#,#,#,#,#,#,#,#,#,1,#,#,#,#,#,1,1,0.7379310344827587,1,0.15,15273
#,0,#,#,#,#,#,#,1,#,#,#,#,1,#,#,#,#,#,1,1,0.6923076923076923,1,0.2,16608
#,1,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,0,0,0.25,1,0.15,19351
#,0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,1,1,0.7272727272727273,1,0.15,18708
#,0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,0,0,1.0,3,0.15,16008
#,0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,1,0,1.0,1,0.15,18173
#,0,1,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,1,0.7051282051282052,2,0.15,19002
#,0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,1,0.7021897810218978,2,0.1,16833
#,0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,2,1,0.7962184873949579,4,0.1,13461
#,2,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,0,0.8108108108108109,1,0.1,15797
#,0,#,#,#,0,#,#,#,#,#,#,0,#,#,#,#,#,#,2,1,0.7681159420289855,1,0.2,16055
#,#,#,#,#,2,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,0.5420765027322404,1,0.05,12275
#,#,#,#,#,2,#,#,#,#,#,#,#,#,#,#,#,#,#,0,0,0.6666666666666666,1,0.1,19822
#,#,#,#,#,0,#,#,#,#,#,#,#,#,#,#,#,#,#,1,1,0.7397629310344828,1,0.1,12640
#,#,#,#,#,1,#,#,#,#,#,#,#,#,#,#,#,#,#,1,0,0.7923875432525952,2,0.1,18170
#,#,#,#,#,1,#,#,#,#,#,#,#,#,#,#,#,#,1,1,0,1.0,2,0.15,13403
#,#,#,#,#,2,#,#,#,#,#,0,#,#,#,#,#,#,0,1,0,1.0,1,0.2,18484
#,#,#,#,2,0,#,#,#,#,#,0,#,#,#,#,#,#,#,0,0,1.0,1,0.2,16423
#,#,#,#,#,2,#,#,#,#,#,0,#,#,#,#,#,#,#,0,0,1.0,2,0.15,18222
0,#,#,#,1,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,1,0.7984084880636605,2,0.15,11016
2,#,#,#,0,#,#,#,#,#,#,#,#,#,#,#,#,#,0,1,1,0.8809523809523809,1,0.2,18990
0,#,#,#,2,#,#,#,#,#,#,#,#,#,#,#,#,#,0,0,1,1.0,1,0.2,19506
#,#,#,#,1,#,#,#,#,0,#,#,#,#,#,#,#,#,1,2,0,0.20666666666666667,1,0.2,14929
#,#,#,#,2,#,#,#,#,#,#,#,#,#,#,#,#,#,0,2,1,1.0,2,0.15,17515
#,#,#,#,1,#,#,#,#,#,#,#,#,#,#,#,#,#,1,0,0,1.0,2,0.15,15665
#,#,#,#,1,#,#,#,#,#,#,#,#,#,#,#,#,#,1,1,0,1.0,1,0.15,15570
#,#,#,#,0,#,#,#,#,#,#,#,#,#,#,#,#,#,2,0,1,1.0,3,0.15,15179
#,#,#,#,2,#,#,#,#,#,#,#,#,#,#,#,#,#,1,0,0,1.0,2,0.15,4709
#,#,#,#,1,#,#,#,#,#,#,#,#,#,#,#,#,#,0,0,0,0.296969696969697,1,0.15,9346
#,0,#,#,0,#,#,#,#,#,#,2,#,#,#,#,#,2,#,1,1,1.0,1,0.25,17655
#,0,#,#,2,#,0,#,#,#,#,#,#,#,#,#,#,#,#,0,1,0.8431372549019608,1,0.2,17633
#,0,#,#,0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,1,0.75,1,0.15,19535
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,0,0.8196375895490939,8,0.05,13524
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,1,0.7277504953907125,7,0.05,55
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,2,0,0.7957371225577264,6,0.05,9047
#,#,#,#,1,0,#,#,#,#,1,#,#,#,#,#,#,#,#,0,0,0.8482758620689655,1,0.2,15728
#,#,#,#,0,#,#,#,#,#,#,#,#,1,#,#,#,#,#,0,1,0.7319587628865979,1,0.15,17455
#,#,#,#,2,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,0,0.7407407407407407,1,0.1,19153
#,#,#,#,1,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,0,0.8041237113402062,1,0.1,19353
0,#,0,#,#,0,#,#,#,#,#,#,#,#,#,#,#,#,#,0,1,0.875,1,0.2,19977
0,#,2,#,#,#,0,#,#,#,#,#,#,#,#,#,#,#,#,0,1,0.8005115089514067,1,0.2,13440
0,#,1,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,1,1.0,1,0.15,19810
0,#,1,#,#,#,#,#,#,#,#,#,0,#,#,#,#,#,#,0,1,1.0,1,0.2,19810
0,#,#,#,#,#,#,#,#,#,#,#,1,#,#,#,#,#,#,0,1,1.0,1,0.15,19897
0,#,#,#,#,#,#,#,#,#,#,#,#,#,1,#,#,#,#,0,1,0.7468085106382979,2,0.15,14998
0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,1,0.7187785701225087,3,0.1,9229
2,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,0,0.7976190476190477,1,0.1,18063
0,#,#,#,#,#,#,#,1,#,#,#,#,#,1,#,0,#,#,0,1,1.0,2,0.25,11590
0,#,#,#,#,#,1,#,#,#,#,#,#,#,0,#,1,#,#,0,1,0.9632352941176471,1,0.25,19590
0,#,1,#,#,#,#,#,#,1,#,#,#,#,0,#,#,#,#,0,1,0.9285714285714286,1,0.25,19187
0,#,1,#,1,#,#,#,#,#,#,#,#,#,0,#,#,#,#,1,1,0.9166666666666666,2,0.25,12787
0,#,1,#,#,#,#,#,#,#,#,#,#,#,1,#,#,#,#,0,1,0.9166666666666666,2,0.2,19316
0,#,1,#,0,#,#,#,1,#,#,#,#,#,0,1,#,#,#,0,1,1.0,1,0.35,18654
0,#,1,#,#,#,0,#,1,#,#,#,#,#,0,#,#,#,#,2,1,1.0,1,0.3,19532
0,#,#,#,#,#,#,#,0,#,#,#,#,#,#,#,1,#,0,0,1,0.7407407407407407,1,0.25,14998
0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,#,0,0,1,0.6166666666666667,1,0.2,15508
0,#,#,#,#,0,#,#,#,#,#,#,#,#,#,2,#,#,0,0,0,1.0,2,0.25,19420
2,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,1,1,0.8823529411764706,1,0.15,19519
0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,0,1,0.6917562724014337,1,0.15,17436
2,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,0,0,1.0,4,0.15,12709
2,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1,2,1,1.0,1,0.15,12262
2,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,0,0,1.0,3,0.15,11911
