A0,A1,A2,R3,R4,R5,R6,R7,R8,R9,R10,Class,Instance,Group
0,1,1,0,0,1,0,1,0,0,1,0,38,3
1,1,1,0,0,1,0,1,0,1,0,0,39,7
0,1,0,0,0,1,1,0,0,1,0,1,40,2
1,1,1,0,0,1,1,0,0,1,1,1,41,7
1,0,0,0,0,0,0,1,0,0,1,1,42,4
0,0,0,0,1,0,0,1,1,1,1,0,43,0
1,1,1,1,1,1,1,0,1,0,0,0,44,7
0,0,1,0,0,0,1,1,0,0,1,0,45,1
0,1,0,1,1,1,1,1,0,0,0,1,46,2
1,0,0,0,0,0,0,0,0,0,0,0,47,4
1,1,1,1,0,0,0,0,1,1,1,1,48,7
0,1,1,1,1,0,0,0,1,0,1,0,49,3
0,0,1,1,0,0,1,1,1,1,0,0,50,1
1,1,0,1,1,1,1,1,1,0,0,0,51,6
1,1,1,0,1,1,1,0,0,0,1,1,52,7
1,1,1,0,0,1,1,0,0,1,0,0,53,7
1,1,1,0,1,0,1,1,1,1,1,1,54,7
1,0,1,1,1,1,1,0,0,1,0,0,55,5
0,0,0,0,0,0,1,0,0,0,1,0,56,0
1,0,0,1,1,0,1,1,1,1,0,1,57,4
1,1,1,1,1,0,0,0,1,1,1,1,58,7
1,1,0,0,0,1,1,0,1,0,1,0,59,6
1,1,1,1,1,1,0,1,1,1,0,0,60,7
0,1,1,0,0,0,0,0,0,1,0,0,61,3
1,1,0,0,0,0,0,0,0,0,0,0,62,6
1,1,1,0,1,1,1,0,1,0,1,1,63,7
0,1,0,1,0,1,1,1,1,1,1,1,64,2
0,1,0,1,1,0,1,0,0,0,0,0,65,2
1,0,0,0,0,0,1,0,0,1,0,0,66,4
1,0,0,0,0,0,0,0,0,0,1,0,67,4
0,0,0,1,0,0,0,1,1,1,1,1,68,0
0,0,1,1,0,1,1,0,0,1,0,0,69,1
0,1,0,1,1,0,1,0,1,1,0,0,70,2
0,0,0,1,1,1,1,1,1,0,0,1,71,0
0,0,0,1,0,0,0,1,1,0,0,1,72,0
1,0,0,0,0,1,0,1,1,0,0,1,73,4
0,1,0,0,1,1,1,0,0,0,1,1,74,2
0,1,1,0,0,1,0,0,1,0,0,0,75,3
0,1,0,1,1,1,0,1,0,1,1,1,76,2
0,0,0,1,1,1,0,0,1,0,0,1,77,0
1,0,0,0,1,1,0,1,1,1,0,1,78,4
1,1,1,1,1,0,1,0,0,1,1,1,79,7
1,0,1,1,1,0,0,0,1,0,0,1,80,5
1,1,1,1,1,0,0,0,0,0,0,0,81,7
0,0,1,0,1,1,1,1,0,1,0,1,82,1
1,1,0,0,1,1,1,0,1,0,1,0,83,6
1,0,1,0,1,0,0,1,1,1,1,1,84,5
0,0,1,0,0,0,0,1,1,0,0,0,85,1
0,0,1,1,1,1,0,1,0,0,1,1,86,1
1,0,0,0,0,1,1,1,1,1,0,1,87,4
1,0,1,1,0,0,0,0,1,1,0,1,88,5
1,0,1,0,1,1,1,0,1,1,0,1,89,5
1,0,1,1,1,1,0,0,0,1,1,0,90,5
1,0,1,0,1,0,1,0,0,0,1,0,91,5
1,1,0,1,1,0,1,1,0,1,0,1,92,6
0,1,0,1,0,1,0,0,0,0,0,1,93,2
0,1,0,0,1,0,1,0,1,0,1,0,94,2
0,0,0,1,1,1,0,1,1,1,0,1,95,0
1,1,1,0,1,0,0,0,1,0,1,1,96,7
0,1,1,0,1,0,1,0,1,0,0,1,97,3
0,0,0,1,0,0,0,0,0,0,0,1,98,0
1,0,1,0,0,0,0,1,1,1,1,1,99,5
0,0,0,0,0,1,1,0,0,0,0,0,100,0
0,0,0,1,0,1,1,1,0,0,1,1,101,0
0,1,0,0,1,0,0,0,1,0,0,0,102,2
0,0,1,0,0,1,1,1,1,0,0,0,103,1
1,0,1,0,1,0,0,0,0,1,1,0,104,5
0,0,1,0,1,0,0,1,1,0,0,1,105,1
0,0,1,0,0,0,1,0,1,1,1,0,106,1
1,1,0,1,1,1,0,1,1,0,0,0,107,6
1,1,0,1,0,1,1,0,0,1,1,1,108,6
1,0,0,1,0,1,0,1,0,0,1,1,109,4
1,0,0,0,1,1,1,0,0,0,0,0,110,4
0,0,1,1,1,0,1,0,0,1,0,1,111,1
1,1,0,1,0,0,0,1,0,0,0,0,112,6
0,1,1,1,1,0,1,1,0,1,0,1,113,3
1,0,1,0,0,1,1,0,1,1,1,1,114,5
1,0,1,1,0,1,0,0,0,1,0,0,115,5
1,0,1,0,1,0,0,0,1,0,0,1,116,5
0,0,1,0,1,0,0,1,1,1,0,1,117,1
0,1,0,1,0,1,0,0,1,0,1,1,118,2
1,0,1,0,1,0,0,1,0,1,1,0,119,5
1,1,1,0,0,0,1,1,0,0,1,1,120,7
0,0,0,1,0,1,1,0,1,0,1,1,121,0
1,1,1,1,1,0,0,0,1,1,0,0,122,7
1,0,1,1,1,0,0,0,1,1,0,1,123,5
0,1,1,0,1,0,0,0,1,0,0,0,124,3
1,1,1,0,1,1,1,0,1,1,1,1,125,7
0,1,1,1,1,0,0,0,1,0,0,0,126,3
1,1,1,0,1,1,0,0,0,0,1,1,127,7
1,0,0,0,1,1,0,0,1,0,1,0,128,4
1,1,1,1,0,0,0,0,1,0,1,1,129,7
0,1,0,1,1,1,1,1,1,0,0,1,130,2
0,0,1,0,0,1,1,0,0,1,0,0,131,1
1,0,1,1,0,0,1,1,0,0,0,0,132,5
1,1,1,1,1,1,1,1,0,0,1,1,133,7
0,0,1,1,0,1,1,0,0,1,1,0,134,1
0,0,1,0,1,1,1,1,1,0,0,1,135,1
1,1,1,1,1,0,1,0,0,0,1,1,136,7
1,1,1,1,1,1,1,1,1,0,1,1,137,7
1,1,1,0,1,1,0,0,0,1,0,0,138,7
1,1,0,1,1,1,0,1,0,1,0,1,139,6
1,1,1,1,1,0,0,1,0,0,0,0,140,7
0,1,1,1,0,1,1,1,0,0,1,1,141,3
1,1,1,1,1,1,1,1,0,1,1,1,142,7
0,1,1,1,0,1,1,1,1,1,0,1,143,3
0,1,1,1,0,0,1,1,0,0,1,1,144,3
0,0,0,1,0,0,1,1,1,1,0,1,145,0
1,1,0,0,0,1,1,1,0,0,1,0,146,6
1,1,0,1,0,1,1,1,1,0,0,0,147,6
0,1,1,1,1,0,0,0,0,1,0,0,148,3
0,0,0,0,1,1,1,0,0,1,1,0,149,0
0,0,1,1,0,0,1,0,1,1,0,0,150,1
0,1,0,0,1,0,0,0,0,1,1,0,151,2
0,0,1,1,0,0,0,0,0,1,1,0,152,1
0,0,1,1,0,1,1,0,1,0,0,0,153,1
1,0,1,1,0,0,1,0,0,0,0,0,154,5
0,0,1,1,0,0,1,0,0,1,1,0,155,1
1,1,0,0,1,0,1,1,0,0,1,0,156,6
1,0,0,0,1,1,0,1,1,0,0,1,157,4
1,0,0,0,0,1,1,0,1,1,0,0,158,4
1,0,1,0,0,1,1,0,1,0,0,1,159,5
0,0,0,1,1,0,1,1,1,1,0,1,160,0
0,1,0,1,0,0,0,0,1,0,1,0,161,2
1,1,1,1,1,1,1,0,1,0,1,1,162,7
1,0,1,0,1,0,1,1,0,0,1,0,163,5
1,1,1,1,1,0,0,1,1,0,0,0,164,7
0,1,0,1,1,0,1,0,1,0,1,0,165,2
0,1,0,1,1,0,1,0,0,1,1,0,166,2
0,1,0,0,1,1,1,0,0,0,0,1,167,2
0,0,1,1,1,0,0,1,0,1,1,1,168,1
1,1,1,0,0,1,1,1,1,1,1,1,169,7
1,0,0,0,0,0,1,1,0,0,0,1,170,4
1,1,1,1,0,0,0,1,1,1,0,0,171,7
0,1,1,0,1,1,0,0,0,0,0,0,172,3
1,0,0,0,0,0,1,0,1,1,0,0,173,4
1,1,0,1,1,1,0,1,0,0,1,0,174,6
0,1,1,1,1,0,1,0,1,1,1,1,175,3
0,1,0,0,1,0,1,0,0,1,0,0,176,2
0,0,1,1,1,1,1,1,1,0,0,1,177,1
0,0,0,1,0,0,0,0,0,0,1,1,178,0
0,0,1,1,0,0,1,1,1,0,1,0,179,1
0,1,1,1,0,0,0,1,1,1,1,0,180,3
1,0,1,1,0,0,1,1,1,0,1,1,181,5
1,0,1,0,1,0,1,1,0,1,1,0,182,5
0,0,1,0,0,0,0,0,1,1,1,0,183,1
0,1,0,0,0,0,0,1,1,0,0,0,184,2
0,1,0,0,1,1,1,0,0,1,1,1,185,2
0,1,0,1,0,1,0,0,1,0,0,1,186,2
0,0,1,1,0,1,0,0,1,1,1,0,187,1
0,0,1,1,1,1,1,0,1,0,0,1,188,1
1,0,0,0,1,1,0,0,1,1,1,0,189,4
1,1,1,1,1,1,0,0,0,1,0,0,190,7
0,0,1,1,0,1,0,0,1,0,0,0,191,1
0,0,0,0,0,1,0,0,0,0,0,0,192,0
0,0,0,0,0,1,0,1,0,1,0,0,193,0
0,1,0,1,1,1,0,0,1,1,1,1,194,2
1,0,1,1,1,1,0,1,0,0,0,0,195,5
1,1,1,0,1,0,0,0,0,1,0,0,196,7
1,0,1,0,1,0,0,0,0,0,1,0,197,5
0,1,1,0,1,1,0,0,0,1,1,0,198,3
1,0,0,1,0,1,0,0,1,1,0,0,199,4
0,0,1,0,0,0,1,1,1,1,1,0,200,1
1,0,0,1,0,0,1,0,1,0,0,0,201,4
0,1,0,1,1,1,0,0,1,0,0,1,202,2
0,0,0,0,1,0,0,0,0,1,0,0,203,0
1,0,0,1,0,0,1,1,0,1,0,1,204,4
0,0,0,1,0,1,1,1,1,0,1,1,205,0
0,0,0,0,0,1,0,0,1,1,0,0,206,0
1,0,1,0,0,1,1,0,0,0,0,0,207,5
1,1,1,0,0,1,1,1,0,0,1,1,208,7
0,1,1,1,0,0,0,0,0,1,1,0,209,3
1,1,0,0,1,1,0,1,1,0,1,0,210,6
1,1,1,0,1,0,0,1,0,0,1,1,211,7
1,0,0,1,1,0,1,0,0,0,0,0,212,4
0,0,1,1,0,1,0,1,1,0,0,0,213,1
0,1,1,0,1,0,1,0,0,0,1,1,214,3
0,0,1,1,1,1,0,0,0,1,0,1,215,1
0,0,0,0,0,1,1,1,0,0,0,0,216,0
1,1,0,1,0,0,1,0,0,0,0,0,217,6
1,1,1,0,1,0,1,1,0,0,0,0,218,7
1,0,1,1,1,1,0,1,0,1,1,0,219,5
1,1,1,0,0,0,0,0,0,0,0,0,220,7
1,1,0,0,0,1,1,0,0,1,0,1,221,6
1,0,1,1,1,0,1,1,1,1,0,1,222,5
1,0,1,0,1,0,0,1,1,1,0,1,223,5
0,0,1,0,0,0,0,1,1,0,1,0,224,1
0,1,1,0,1,0,1,0,0,1,1,1,225,3
0,1,1,1,1,1,0,0,0,1,0,0,226,3
0,1,1,0,0,0,1,1,1,1,0,1,227,3
1,1,1,0,0,1,1,1,0,1,0,0,228,7
1,0,1,1,0,0,0,1,0,1,0,0,229,5
1,1,0,1,1,1,1,0,0,1,1,1,230,6
0,0,0,0,1,0,1,0,0,1,1,0,231,0
1,1,0,0,1,0,0,0,0,0,0,0,232,6
0,0,0,0,1,0,1,1,1,1,0,0,233,0
0,1,0,0,1,1,1,1,1,0,1,1,234,2
0,1,0,1,1,0,0,1,1,0,0,0,235,2
0,0,0,0,1,0,0,1,1,0,0,0,236,0
1,1,1,0,1,0,1,1,1,1,0,0,237,7
0,1,1,1,0,1,1,0,1,1,0,1,238,3
1,0,1,0,1,0,1,0,1,0,0,1,239,5
1,0,1,1,0,0,1,1,1,1,0,1,240,5
0,1,1,1,1,1,0,0,1,0,1,0,241,3
0,0,0,1,1,1,1,1,1,1,0,1,242,0
1,0,0,1,1,1,1,0,0,0,1,0,243,4
0,1,1,1,1,0,1,0,0,0,1,1,244,3
1,1,1,1,1,0,0,0,0,0,1,1,245,7
0,1,0,0,0,0,1,1,1,1,0,0,246,2
0,1,0,1,0,0,1,0,0,0,1,0,247,2
1,1,1,0,1,1,0,1,0,1,0,0,248,7
0,1,1,1,1,0,1,1,0,0,1,1,249,3
0,1,1,1,1,1,0,1,0,1,0,0,250,3
1,1,0,1,1,1,0,0,1,0,1,0,251,6
0,1,0,0,0,0,1,0,0,0,1,0,252,2
1,1,1,1,0,1,1,0,1,1,0,0,253,7
0,1,0,0,1,1,1,1,1,1,0,1,254,2
1,0,0,1,1,0,0,1,1,0,1,1,255,4
0,1,1,1,0,1,0,0,0,1,1,0,256,3
1,1,1,0,0,1,1,0,1,1,0,0,257,7
1,0,0,0,1,1,0,1,1,1,1,1,258,4
1,1,1,0,1,1,1,0,1,0,0,0,259,7
0,1,1,0,0,1,0,0,1,1,0,0,260,3
1,0,1,1,0,0,0,0,0,1,0,0,261,5
0,1,1,1,1,1,1,1,1,1,0,1,262,3
1,1,0,1,1,1,0,1,1,1,1,1,263,6
1,1,1,0,0,1,1,0,1,0,1,1,264,7
1,1,0,0,0,0,1,0,1,1,1,1,265,6
1,1,1,0,1,0,0,0,0,0,1,1,266,7
1,0,1,0,0,1,1,1,1,1,1,1,267,5
1,0,0,1,1,1,1,0,0,0,0,0,268,4
1,0,1,0,0,0,0,1,1,0,1,1,269,5
1,1,1,1,1,1,0,0,1,0,1,1,270,7
1,0,1,0,1,1,0,0,0,0,1,0,271,5
1,0,0,1,0,0,1,0,0,1,0,0,272,4
0,1,1,0,1,1,0,1,0,1,0,0,273,3
0,0,1,0,0,0,1,1,1,0,0,0,274,1
1,1,0,0,1,0,1,0,0,1,0,1,275,6
0,0,0,1,1,0,0,1,1,1,0,1,276,0
1,1,0,0,0,0,1,1,1,1,0,1,277,6
1,1,1,1,0,1,1,0,0,0,0,0,278,7
0,0,0,1,0,1,1,0,0,0,0,1,279,0
0,0,1,0,0,0,0,1,0,0,1,0,280,1
0,0,0,0,0,0,0,1,1,1,1,0,281,0
0,0,0,1,0,1,0,0,1,1,1,1,282,0
1,0,0,0,0,0,1,1,1,1,0,1,283,4
0,0,0,0,0,1,1,0,1,1,0,0,284,0
1,1,0,1,1,0,0,1,1,0,1,0,285,6
1,1,0,0,1,1,1,1,1,1,0,1,286,6
1,0,0,1,0,0,1,0,1,0,1,0,287,4
0,1,0,1,0,1,1,1,0,1,1,1,288,2
1,0,0,1,1,0,1,0,1,1,0,0,289,4
1,1,0,1,0,1,0,0,1,1,0,1,290,6
0,0,1,1,0,1,0,1,1,0,1,0,291,1
1,0,0,0,0,1,0,0,0,1,1,0,292,4
0,0,1,1,1,1,1,0,0,0,1,1,293,1
1,1,1,0,1,0,1,0,1,1,1,1,294,7
1,0,1,0,0,0,0,0,0,1,1,0,295,5
1,0,1,1,1,0,0,1,1,0,0,1,296,5
1,1,0,1,0,1,0,1,1,0,0,0,297,6
1,1,1,0,0,1,1,0,0,0,1,1,298,7
1,1,1,0,1,1,0,1,0,1,1,1,299,7
0,0,1,0,1,1,1,1,0,1,1,1,300,1
1,0,0,1,0,0,1,0,0,1,1,0,301,4
1,1,0,0,1,0,1,1,0,1,0,1,302,6
0,0,1,1,1,0,0,1,1,0,0,1,303,1
0,1,1,0,1,0,0,1,1,0,1,0,304,3
1,0,0,0,0,0,1,1,1,0,0,1,305,4
0,1,0,0,0,1,0,0,1,0,1,1,306,2
1,0,1,0,1,1,0,0,0,0,0,0,307,5
1,1,0,0,0,1,0,1,1,1,0,1,308,6
0,0,0,1,1,0,1,0,1,0,1,1,309,0
0,0,0,0,1,0,0,1,1,1,0,0,310,0
1,0,0,0,1,1,1,0,0,1,0,0,311,4
1,1,1,0,0,1,0,0,0,0,1,1,312,7
0,0,0,1,0,1,0,1,1,1,0,1,313,0
1,1,1,1,0,0,0,1,1,0,0,0,314,7
0,1,0,0,1,0,1,0,0,1,1,0,315,2
1,1,1,0,0,0,1,1,1,0,0,0,316,7
1,0,0,1,0,0,0,0,1,1,0,0,317,4
1,1,0,1,1,1,0,0,0,1,0,1,318,6
0,1,0,1,0,0,1,1,0,1,0,0,319,2
1,1,1,1,0,0,0,0,0,0,1,1,320,7
0,1,0,1,0,0,0,1,1,1,0,0,321,2
1,1,1,0,0,1,0,1,1,0,0,0,322,7
1,1,1,1,1,1,1,0,1,1,0,0,323,7
0,1,0,0,1,0,1,1,0,1,1,0,324,2
1,0,0,0,1,0,1,1,0,1,0,1,325,4
1,1,1,0,1,1,1,1,0,0,0,0,326,7
1,0,0,1,1,1,1,1,1,1,0,1,327,4
1,0,1,1,1,0,1,1,0,1,0,0,328,5
0,0,1,1,0,0,1,1,0,1,0,0,329,1
0,1,0,1,0,0,0,0,0,0,1,0,330,2
1,0,1,1,1,0,0,1,1,1,0,1,331,5
1,1,1,0,0,0,1,1,1,1,0,0,332,7
0,1,0,0,1,0,0,1,1,0,0,0,333,2
1,0,1,1,1,0,1,1,0,0,1,0,334,5
0,0,1,0,1,0,0,1,1,0,1,1,335,1
0,1,1,0,0,1,0,1,1,1,1,0,336,3
1,0,0,1,1,1,1,1,1,0,1,1,337,4
1,1,1,0,1,0,1,0,1,1,0,0,338,7
0,1,0,1,0,1,1,0,0,0,0,1,339,2
1,1,1,1,0,1,1,1,0,1,1,1,340,7
0,0,0,1,0,1,0,1,0,1,1,1,341,0
0,0,0,0,1,0,0,0,0,0,1,0,342,0
1,0,0,1,0,1,0,0,0,0,0,0,343,4
0,1,0,0,0,1,1,0,1,1,0,1,344,2
0,0,0,1,1,1,1,1,0,1,0,1,345,0
1,0,0,0,1,0,1,0,0,0,0,0,346,4
0,0,1,1,0,1,1,1,1,1,1,0,347,1
1,1,1,0,0,0,1,0,0,0,1,1,348,7
1,1,0,1,0,1,0,1,1,1,0,1,349,6
1,0,1,1,0,1,0,1,0,0,0,0,350,5
0,1,1,0,1,0,0,1,0,0,0,0,351,3
0,0,0,0,1,1,0,1,1,1,1,0,352,0
1,1,1,0,0,1,1,1,1,1,0,0,353,7
0,1,0,1,0,0,1,1,1,1,0,0,354,2
0,1,1,1,0,0,1,0,1,0,0,1,355,3
1,0,0,1,1,0,1,0,0,1,0,0,356,4
1,0,1,0,1,1,1,0,0,0,0,0,357,5
0,1,1,1,0,1,1,1,0,0,0,1,358,3
0,0,0,0,1,0,1,0,1,1,0,0,359,0
0,0,0,1,0,0,0,0,0,1,0,1,360,0
0,1,0,0,0,1,0,1,1,0,0,1,361,2
0,0,0,1,0,0,1,1,0,0,1,1,362,0
0,1,0,0,0,1,0,0,0,1,0,1,363,2
0,0,0,1,1,0,0,1,0,0,1,1,364,0
0,1,1,1,1,0,0,1,1,0,0,0,365,3
1,1,1,1,1,1,1,1,1,1,0,0,366,7
1,0,1,0,1,0,1,0,1,1,1,1,367,5
0,1,1,1,0,0,0,0,1,0,1,0,368,3
1,0,1,1,1,0,0,1,0,1,1,0,369,5
0,0,1,1,1,1,0,1,1,1,0,1,370,1
1,0,0,0,0,1,1,0,1,0,1,0,371,4
0,0,0,1,1,1,1,1,0,1,1,1,372,0
0,1,1,0,0,0,0,0,1,0,0,0,373,3
0,1,0,0,1,0,1,1,1,1,1,0,374,2
1,0,1,0,0,1,1,0,0,1,0,0,375,5
1,1,1,1,1,0,1,1,1,1,0,0,376,7
0,1,0,0,0,0,1,1,0,0,1,0,377,2
1,1,1,0,1,1,1,1,1,1,0,0,378,7
0,0,1,1,1,0,1,0,0,0,1,1,379,1
0,0,1,1,1,0,0,0,0,0,0,1,380,1
0,1,0,0,1,1,0,1,1,1,0,1,381,2
0,0,1,0,1,1,1,0,1,1,0,1,382,1
1,1,1,0,1,1,0,0,0,1,1,1,383,7
1,1,1,0,1,0,0,1,1,0,0,0,384,7
0,0,1,0,0,1,1,1,0,0,0,0,385,1
0,0,1,0,0,1,0,0,0,0,1,0,386,1
0,1,1,1,1,1,1,1,0,1,1,1,387,3
1,1,1,0,1,1,0,1,0,0,0,0,388,7
1,1,0,1,1,0,1,0,0,1,1,1,389,6
0,0,1,0,1,0,1,1,0,0,0,1,390,1
0,1,0,1,1,1,1,0,1,1,0,1,391,2
1,1,0,1,0,0,0,1,0,0,1,0,392,6
0,0,0,1,1,0,0,0,0,1,1,1,393,0
0,0,1,1,1,1,0,1,1,0,0,1,394,1
1,1,0,0,1,1,0,1,0,0,0,0,395,6
0,0,0,1,1,1,0,1,0,1,1,1,396,0
1,1,0,1,1,0,1,1,1,0,0,0,397,6
1,1,1,0,1,0,1,0,0,1,1,1,398,7
1,1,0,1,1,1,1,1,1,1,0,1,399,6
1,1,0,0,1,0,1,0,1,1,0,1,400,6
1,0,1,1,1,1,1,1,0,1,0,0,401,5
0,0,0,1,1,0,0,0,1,0,1,1,402,0
1,0,0,0,0,0,1,1,1,0,1,1,403,4
1,1,0,0,1,0,0,0,1,1,1,1,404,6
0,1,1,0,0,0,0,1,0,1,0,0,405,3
0,1,1,1,1,1,1,0,0,1,1,1,406,3
1,0,1,0,1,1,0,1,0,1,1,0,407,5
1,1,0,0,0,0,0,1,0,1,0,1,408,6
0,1,1,1,1,0,0,1,0,1,1,0,409,3
0,1,1,0,1,0,0,0,1,1,0,0,410,3
1,1,0,1,0,1,1,1,1,0,1,0,411,6
0,1,1,1,0,1,0,1,0,0,1,0,412,3
0,0,0,0,0,0,0,1,1,1,0,0,413,0
1,0,1,1,0,1,0,1,1,0,1,1,414,5
0,1,0,0,0,1,0,1,0,0,0,1,415,2
1,0,0,0,0,1,0,1,0,0,1,1,416,4
0,1,0,0,0,1,0,0,0,0,1,1,417,2
0,0,0,0,1,1,1,0,0,0,0,0,418,0
1,0,1,0,1,1,1,1,1,0,1,1,419,5
1,0,0,1,0,0,1,1,0,1,1,1,420,4
0,0,1,0,0,1,0,0,0,0,0,0,421,1
0,1,1,0,1,1,1,0,0,1,0,1,422,3
1,0,0,1,0,1,0,1,0,1,0,1,423,4
0,1,1,0,0,0,0,0,0,0,1,0,424,3
0,0,0,0,1,1,1,0,1,0,1,0,425,0
1,1,0,0,1,0,0,0,1,0,1,0,426,6
1,1,1,0,0,1,0,0,0,0,0,0,427,7
0,0,1,1,1,0,1,1,1,0,0,1,428,1
1,1,1,1,0,0,0,0,0,0,0,0,429,7
0,0,0,1,0,0,0,1,0,1,1,1,430,0
1,1,1,0,1,0,0,1,0,1,0,0,431,7
1,0,1,1,1,1,1,0,1,0,1,1,432,5
1,0,0,1,0,0,0,0,1,1,1,0,433,4
1,1,0,0,0,1,0,0,1,0,0,0,434,6
0,0,0,0,1,1,0,0,0,0,0,0,435,0
1,0,1,0,1,1,1,0,1,0,0,1,436,5
1,1,1,1,1,0,0,1,1,1,1,1,437,7
0,1,0,1,1,1,1,1,1,1,0,1,438,2
1,1,1,0,1,1,0,1,1,1,1,1,439,7
0,1,1,1,1,1,0,0,0,0,0,0,440,3
1,0,1,0,1,0,1,1,1,1,1,1,441,5
1,1,1,1,1,1,1,0,0,1,1,1,442,7
1,1,0,1,0,0,1,1,1,0,0,0,443,6
0,0,0,1,1,0,1,1,1,0,1,1,444,0
1,1,1,1,0,1,1,1,0,1,0,0,445,7
0,0,1,1,0,1,0,1,0,0,0,0,446,1
1,1,1,1,1,1,1,0,0,0,1,1,447,7
0,0,1,1,1,1,0,0,1,1,0,1,448,1
0,1,0,0,1,0,1,0,1,1,1,0,449,2
1,0,1,0,1,1,1,1,1,1,1,1,450,5
0,1,0,0,1,0,1,0,0,0,0,0,451,2
1,0,1,0,0,1,1,1,0,1,1,0,452,5
0,1,0,1,1,0,0,1,0,1,1,0,453,2
1,0,1,1,1,1,0,0,0,0,1,0,454,5
1,0,1,0,1,1,1,0,1,1,1,1,455,5
0,1,1,0,0,1,0,1,0,1,0,0,456,3
0,0,1,1,0,1,1,1,0,1,0,0,457,1
0,1,0,1,0,1,1,1,1,0,0,1,458,2
0,0,1,1,1,0,1,1,1,1,1,1,459,1
1,0,0,0,1,1,0,1,0,1,0,1,460,4
1,0,0,1,1,0,0,1,1,0,0,1,461,4
0,0,0,0,1,0,0,0,1,0,1,0,462,0
1,0,1,1,0,0,1,1,0,1,1,0,463,5
0,0,1,0,0,1,1,0,0,0,1,0,464,1
1,0,1,0,1,1,1,1,0,1,0,0,465,5
0,0,0,1,0,1,1,1,0,0,0,1,466,0
1,1,1,1,0,0,1,1,0,1,0,0,467,7
1,0,1,1,0,0,0,0,0,0,1,0,468,5
0,1,1,1,1,1,0,0,1,1,0,0,469,3
0,0,0,1,0,1,1,1,1,0,0,1,470,0
0,0,1,1,1,0,0,0,0,1,1,1,471,1
1,1,0,1,0,1,0,0,0,1,0,1,472,6
0,0,1,1,0,1,1,0,0,0,0,0,473,1
1,1,0,0,1,0,0,0,0,1,0,1,474,6
0,0,1,1,0,0,0,0,1,1,0,0,475,1
0,1,0,0,1,1,0,1,1,1,1,1,476,2
0,1,0,0,1,0,1,1,0,0,1,0,477,2
1,0,1,1,1,1,1,1,1,1,1,1,478,5
1,0,1,0,1,1,0,0,1,0,0,1,479,5
0,1,1,1,0,1,0,1,0,1,0,0,480,3
0,0,0,1,0,0,0,1,0,0,1,1,481,0
0,0,0,0,0,1,1,1,1,1,1,0,482,0
0,1,1,0,1,0,0,0,1,1,1,0,483,3
0,1,0,0,1,0,1,0,0,0,1,0,484,2
0,1,0,0,0,1,1,0,1,0,0,1,485,2
0,1,0,0,0,0,1,0,1,0,0,0,486,2
0,0,0,1,1,0,1,0,0,0,1,1,487,0
0,1,1,1,1,1,0,1,0,0,0,0,488,3
0,1,1,0,1,1,0,1,1,0,1,0,489,3
1,1,0,0,1,1,0,0,1,1,1,1,490,6
1,1,0,1,1,0,1,1,0,1,1,1,491,6
0,0,0,0,0,0,0,1,0,0,0,0,492,0
0,1,1,1,1,0,1,0,0,1,1,1,493,3
0,1,0,0,0,1,1,1,0,1,0,1,494,2
1,1,1,0,0,1,0,1,0,0,0,0,495,7
